anzahl,vorname,geschlecht
43,Sophie,w
40,Maria,w
36,Marie,w
31,Sophia,w
28,Elias,m
28,Maximilian,m
26,Mia,w
25,Leon,m
25,Lea,w
24,David,m
23,Noah,m
22,Jakob,m
22,Anna,w
21,Jonas,m
20,Alexander,m
20,Ben,m
20,Felix,m
20,Luca,m
20,Paul,m
19,Emilia,w
19,Emma,w
19,Lukas,m
19,Samuel,m
18,Amelie,w
18,Lara,w
18,Sofia,w
18,Henry,m
18,Max,m
17,Lina,w
17,Liam,m
16,Lena,w
16,Leonie,w
16,Daniel,m
16,Louis,m
15,Jana,w
15,Leo,m
15,Tom,m
15,Yusuf,m
14,Hanna,w
14,Mila,w
14,Maxim,m
13,Elif,w
13,Elisa,w
13,Emily,w
13,Noel,m
12,Jan,m
12,Raphael,m
11,Ella,w
11,Hannah,w
11,Emir,m
11,Jonathan,m
11,Nico,m
10,Johanna,w
10,Laura,w
10,Lisa,w
10,Luisa,w
10,Mira,w
10,Nele,w
10,Ali,m
10,Paula,w
10,Andreas,m
10,Sara,w
10,Gabriel,m
10,Julius,m
10,Lias,m
10,Lucas,m
10,Matteo,m
10,Tim,m
9,Elena,w
9,Isabella,w
9,Lia,w
9,Nur,w
9,Benjamin,m
9,Efe,m
9,Emil,m
9,Fabian,m
9,Finn,m
9,Julian,m
9,Manuel,m
9,Mats,m
8,Charlotte,w
8,Helena,w
8,Julia,w
8,Maja,w
8,Melina,w
8,Mina,w
8,Miray,w
8,Nora,w
8,Sarah,w
8,Sofie,w
8,Alexandru,m
8,Hamza,m
8,Johannes,m
8,Luis,m
8,Malik,m
8,Michael,m
8,Milan,m
8,Moritz,m
8,Oliver,m
8,Sebastian,m
8,Simon,m
8,Theo,m
7,Eva,w
7,Leni,w
7,Lotta,w
7,Luise,w
7,Maya,w
7,Milena,w
7,Nina,w
7,Romy,w
7,Viktoria,w
7,Adrian,m
7,Anton,m
7,Bruno,m
7,Can,m
7,Christian,m
7,Damian,m
7,Karl,m
7,Leonard,m
7,Levi,m
7,Levin,m
7,Linus,m
7,Luka,m
7,Mika,m
7,Patrick,m
7,Tobias,m
6,Alessia,w
6,Alexandra,w
6,Ioana,w
6,Lilly,w
6,Liya,w
6,Marlene,w
6,Melissa,w
6,Meryem,w
6,Olivia,w
6,Pauline,w
6,Selina,w
6,Victoria,w
6,Zeynep,w
6,Adam,m
6,Benedikt,m
6,Dominik,m
6,Eduard,m
6,Ensar,m
6,Hannes,m
6,Joel,m
6,Johann,m
6,Josef,m
6,Mark,m
6,Marlon,m
6,Mateo,m
6,Muhammed,m
6,Niklas,m
6,Philipp,m
6,Robin,m
6,Vincent,m
5,Amira,w
5,Anastasia,w
5,Angelina,w
5,Aurora,w
5,Chiara,w
5,Clara,w
5,Ela,w
5,Frida,w
5,Ida,w
5,Joleen,w
5,Katharina,w
5,Naomi,w
5,Nisa,w
5,Pia,w
